name,family,category,is_body,is_serif,is_italic,weight
IBM Plex Sans 300 Italic,IBM Plex Sans,sans-serif,1,0,1,light
IBM Plex Sans 400,IBM Plex Sans,sans-serif,1,0,1,regular
IBM Plex Sans 400 Italic,IBM Plex Sans,sans-serif,1,0,1,regular
IBM Plex Sans 500,IBM Plex Sans,sans-serif,1,0,1,medium
IBM Plex Sans 500 Italic,IBM Plex Sans,sans-serif,1,0,1,medium
IBM Plex Sans 600,IBM Plex Sans,sans-serif,1,0,1,semibold
IBM Plex Sans 600 Italic,IBM Plex Sans,sans-serif,1,0,1,semibold
IBM Plex Sans 700,IBM Plex Sans,sans-serif,1,0,1,bold
IBM Plex Sans 700 Italic,IBM Plex Sans,sans-serif,1,0,1,bold
IBM Plex Sans Condensed 100,IBM Plex Sans Condensed,sans-serif,1,0,0,thin
IBM Plex Sans Condensed 100 Italic,IBM Plex Sans Condensed,sans-serif,1,0,1,thin
IBM Plex Sans Condensed 200,IBM Plex Sans Condensed,sans-serif,1,0,1,extralight
IBM Plex Sans Condensed 200 Italic,IBM Plex Sans Condensed,sans-serif,1,0,1,extralight
IBM Plex Sans Condensed 300,IBM Plex Sans Condensed,sans-serif,1,0,1,light
IBM Plex Sans Condensed 300 Italic,IBM Plex Sans Condensed,sans-serif,1,0,1,light
IBM Plex Sans Condensed 400,IBM Plex Sans Condensed,sans-serif,1,0,1,regular
IBM Plex Sans Condensed 400 Italic,IBM Plex Sans Condensed,sans-serif,1,0,1,regular
IBM Plex Sans Condensed 500,IBM Plex Sans Condensed,sans-serif,1,0,1,medium
IBM Plex Sans Condensed 500 Italic,IBM Plex Sans Condensed,sans-serif,1,0,1,medium
IBM Plex Sans Condensed 600,IBM Plex Sans Condensed,sans-serif,1,0,1,semibold
IBM Plex Sans Condensed 600 Italic,IBM Plex Sans Condensed,sans-serif,1,0,1,semibold
IBM Plex Sans Condensed 700,IBM Plex Sans Condensed,sans-serif,1,0,1,bold
